"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
48057	0	14549					522	0	46007					0	0	0			0	21959	0	0										0		
48150	0	4714					277	0	8280					458	0	0			0	2076	0	0										9		
48374	0	29781					11305	0	173090					38683	0	0			0	28765	0	1763										258		
48440	0	0					747	225	49462					8000	0	0			225	20071	0	0										0		
49054	0	0					1022	0	38244					13509	0	0			0	971	0	0										0		
49148	0	0					284	0	60188					3000	0	0			0	13312	0	0										0		
49241	0	0					12216	37138	105278					49	0	0			10942	37472	0	0										0		
49652	0	913					699	0	56559					12877	0	0			0	35664	0	0										730		
49858	0	971					1055	0	5446					0	0	0			0	2168	0	0										0		
49951	0	0					317	0	20956					0	0	0			0	1007	0	0										0		
50144	0	0					302	60180	0					2000	0	0			10996	0	0	0										0		
50461	0	0					0	0	0					0	0	0			0	0	0	0										0		
51253	0	0					2667	0	0					23024	0	0			0	0	0	0										0		
51356	0	0					0	0	27220					0	0	0			0	0	0	0										0		
51459	0	23983					2927	0	174938					3180	0	0			0	34540	0	10000										46		
51842	0	8621					204	0	86290					0	0	0			0	35162	0	0										12		
52719	0	0					6402	0	0					0	0	0			0	0	0	0										0		
52951	0	0					1246	0	112874					139	0	0			0	42831	0	0										0		
53051	0	0					5	31932	0					0	0	0			2959	0	0	0										0		
54058	0	0					2269	0	102738					22566	0	0			0	30970	0	0										0		
54656	0	25110					4836	0	793209					0	0	0			0	625926	0	0										0		
54973	59888	61372					125700	510879	2232336					125000	0	0			0	15033	0	284040										0		
55336	0	39311					2297	0	174520					2934	0	0			0	26285	0	0										0		
55635	0	4650					279	0	8892					2688	0	0			0	0	0	0										0		
55653	0	28567					305	0	53782					0	0	0			0	6404	0	10583										0		
55970	0	128401					738	0	131666					800	0	0			0	0	0	0										0		
56258	0	0					8	0	142114					0	0	0			0	32741	0	0										0		
56351	0	0					10577	299135	575030					0	0	0			174665	202081	0	0										0		
56548	0	0					3153	0	82754					20000	0	0			0	0	0	0										50		
