"IDRSSD"	RIADA491	RIADB904	RIADB905	RIADB906	RIADB907	RIADB909	RIADB910	RIADB911	RIADB912	RIADB947	RIADB948	RIADB949	RIADB950	RIADB951	RIADB952	RIADB953	RIADB954	RIADB955	RIADB956	RIADB957	RIADB958	RIADB959	RIADB960	RIADB961	RIADC058	RIADJ315	RIADJ316	
	NET TRUST INCOME (LOSS)	PERSONAL TRUST AND AGENCY ACCOUNTS	EMPLOYEE BENEFIT-DEFINED CONTRIBUTN	EMPLOYEE BENEFIT-DEFINED BENEFIT	OTHER RETIREMENT ACCOUNTS	CUSTODY AND SAFEKEEPING ACCOUNTS	OTH FIDUCIARY/RELATED SERVICES INCME	PLUS:INTRACMPNY INCM CRDTS FOR FIDUC	FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS	PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC	PRSNL TRST/AGCY ACCTS-GROSS LOSS NON	PERSONAL TRUST/AGCY ACCTS-RECOVERIES	RETIREMT RLTD TRST,ETC-GROSS LOSS MN	RETIREMT RLTD TRST,ETC-GROSS LOS NON	RETIREMT RELATED TRST,ETC-RECOVERIES	INVMT MNGEMT AGCY ACCTS-GROS LOS MNG	INVMT MNGEMT AGCY ACCTS-GROS LOS NON	INVTMT MNGEMT AGCY ACCTS-RECOVERIES	OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN	OTH FID ACCTS/RLTD SVCS-GROS LOS NON	OTH FIDU ACCTS/RLTD SVCS-RECOVERIES	TOT FIDU SETTLEMTS,ETC-GROS LOSS MN	TOT FIDU SETTLEMTS,ETC-GROS LOSS NON	TOT FIDU SETTLEMENTS,ETC-RECOVERIES	LESS: EXPENSES	FID REL SRVC INC INV MGMT ADVIS AGY 	FID REL SRVC INC FOUND ENDW TR AGY A	
273336		1184	0	37	85	18	0																			190	5	
273550																												
273653																												
273662																												
273840																												
273859																												
274025																												
274052																												
274548																												
274829																												
274856																												
275255																												
275358																												
275479																												
275657																												
276074																												
276159																												
276551																												
276579		3549	0	0	1278	1539	0																			16494	591	
276645																												
276654																												
276850																												
276953																												
277240																												
277277																												
277679																												
277736																												
277820																												
278256																												
278555																												
278733																												
278751																												
278818		610	39	37	176	39	0																			708	88	
278872																												
279105																												
279842																												
279954																												
280110		65093	2112	1493	22266	7679	6973		0																	87174	16010	
280138																												
280352																												
280558																												
282075																												
282226																												
282824																												
283157																												
283438																												
283652																												
283737																												
283867																												
284154																												
284239																												
284556																												
284752																												
284958																												
285151																												
285348																												
285544																												
285553																												
285740		880	27	0	63	27	0																			0	46	
285777																												
285852		482	0	0	792	163	0																			681	326	
285928																												
286251																												
286457																												
286840																												
287007																												
287342																												
287922																												
287959																												
288152																												
288376																												
288853																												
289056																												
289225																												
289515		2001	246	42	987	51	227																			1467	282	
289702																												
289739																												
289757																												
290249		3063	332	0	583	54	4																			603	18	
290838																												
290922																												
291059																												
291330																												
291376																												
291611																												
291732																												
292234																												
292467																												
292850																												
292908																												
293053																												
293352																												
293437																												
293651																												
293754																												
294023																												
294564																												
294751																												
294779																												
294827																												
295011																												
295057																												
295646																												
296456																												
296474																												
296559																												
296755																												
296858																												
297051																												
297631																												
297761																												
298049																												
298218																												
298245																												
299868																												
300009																												
300063																												
300157																												
300353																												
300456																												
300933																												
300942																												
300960																												
301574																												
301800																												
302030																												
302133																												
302553																												
302656																												
303653																												
303701																												
303747																												
303952																												
304173																												
304520																												
304575																												
304762																												
304913		4942	0	0	0	0	0																			0	0	
305059																												
305077																												
305237																												
305442																												
306056																												
306140																												
306159																												
306337																												
306908																												
307062																												
307334																												
