"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
991621		0	2821	45	43	0	2240	27	520			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
991854		0	87	70	7	0	96	86	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
992851		0	1007	0	0	0	709	2	300					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
993250		0	3173	0	3	0	3179	9	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
994435		0	11166	77	26	0	11137	74	0					0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	710		
994770			275	25	0	0	266	16	0																						
995076		0	28057	4500	704	0	24331	1478	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
995272			1848	60	19	0	1769	0	0																						
995517		0	7229	900	27	0	6554	252	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
995571		0	2744	90	40	0	2616	2	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
995674		0	1590	225	0	0	1365	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
995955		0	259	35	0	0	246	22	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
996260		0	47183	2356	207	0	44649	1191	1162					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
997155		0	767	0	7	0	775	15	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
997557		0	442	0	2	0	450	10	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
997847		0	6007	0	3	0	6011	7	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
998358		0	648	0	38	0	631	21	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
998648		0	697	45	13	0	680	41	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
998657		0	1080	0	43	0	1305	268	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
998844		0	9514	565	6	0	8897	6	52					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
999935		0	5568	544	23	0	5480	69	-410			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1000052		0	5174	378	50	0	4762	16	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1000276		0	2756	-99	12	0	2660	102	285					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1000641		0	6149	657	94	0	7157	289	-1470					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	
1000856		0	188	5	1	0	200	18	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1000959		0	2139	0	11	0	2224	96	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1001059		0	5624	0	1	0	5635	12	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1001152		0	109715	21122	1733	0	89959	3099	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1001639		0	38867	1632	1121	0	36387	64	-209			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-25	0	
1001648		0	33390	4164	294	0	33844	824	-4088					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	
1001853		0	4838	-18	24	0	4916	18	-66			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
1002373		0	5215	64	50	0	5468	93	-274					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19		
1002458		0	747	70	139	0	541	3	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1002878		0	124841	14863	6733	0	118036	15217	426					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	
1002953		0	1367	0	1	0	1316	1	51					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5		
1003455		0	2453	0	68	0	2453	68	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1003558		0	925	0	8	0	1132	143	-72			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1003839		0	4898	900	25	0	2946	57	1084					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1003950		0	313	169	27	0	195	222	144					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1004256		0	387	0	14	0	374	1	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1004470		0	11367	945	35	0	11399	17	-995					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1005075		0	1750	341	0	0	1650	0	-241					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9		
1005552		0	995	34	93	0	1299	120	-311					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-24		
1005655		0	1799	190	16	0	1598	5	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1005851		0	775	90	0	0	687	2	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1006148		0	9174	200	12	0	8980	18	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1006157		0	821	69	0	0	752	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1006513		0	5003	120	189	0	4736	42	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1006559		0	1835	150	2	0	1707	14	-10					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10		
1006652		0	1849	400	9	0	1535	95	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1007015		0	29505	5591	2051	0	26266	4962	559					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-713	0	
1007051		0	756	0	0	0	787	0	-31					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1007154		0	7902	-121	82	0	8073	103	-29					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13		
1007417		0	3765	16	1002	0	5997	379	-2871					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
