IDRSSD,RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3386,RCON3387,RCON3401,RCON3465,RCON3466,RCON3484,RCON3485,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17
228345.0,,,,,,,,,,,,,0.0,10500.0,161924.0,19759.0,227109.0,11127.0,,4484.0,,61014.0,93502.0,0.0,8271.0,6608.0,0.0,16593.0,232.0,1105.0,59892.0,68281.0,10705.0
229070.0,,,,,,,,,,,,,0.0,0.0,192949.0,0.0,242924.0,41566.0,,0.0,,1838.0,191111.0,0.0,29550.0,0.0,0.0,0.0,0.0,0.0,100638.0,53037.0,12632.0
229173.0,,,,,,,,,,,,,0.0,,72685.0,0.0,94935.0,8435.0,,3280.0,,57224.0,10817.0,0.0,8044.0,786.0,9205.0,0.0,0.0,601.0,29759.0,20719.0,8986.0
229342.0,,,,,,,,,,,,,7013.0,0.0,109080.0,0.0,211716.0,11993.0,15606.0,12306.0,,23222.0,56094.0,0.0,86579.0,37843.0,5839.0,39793.0,0.0,889.0,46190.0,10175.0,2102.0
229454.0,,,,,,,,,,,,,0.0,0.0,54432.0,1500.0,133291.0,3859.0,,4522.0,,21024.0,14629.0,0.0,17690.0,1304.0,41846.0,25994.0,0.0,10426.0,33417.0,17060.0,9233.0
229801.0,,,,,,,,,,,,,170433.0,1289934.0,32634498.0,0.0,42456069.0,1873424.0,0.0,4971288.0,224882.0,4943388.0,20210934.0,703630.0,1066457.0,93040.0,3007432.0,652993.0,12340.0,2328547.0,18619273.0,2842910.0,901882.0
229913.0,180769.0,1678781.0,0.0,7518511.0,1217071.0,1495.0,1712699.0,0.0,744.0,24884.0,35000.0,20857.0,,,4195657.0,,,,0.0,2175997.0,,0.0,0.0,,940499.0,,,,0.0,0.0,1093951.0,513979.0,675927.0
230423.0,,,,,,,,,,,,,7244.0,4.0,184313.0,0.0,358834.0,60970.0,12220.0,11681.0,,40325.0,119833.0,0.0,50937.0,50186.0,7493.0,19845.0,745.0,1445.0,106968.0,19055.0,2336.0
230610.0,,,,,,,,,,,,,6417.0,0.0,168482.0,0.0,341596.0,24626.0,,17125.0,,87510.0,54335.0,0.0,82067.0,95987.0,14172.0,20405.0,0.0,3348.0,81491.0,32137.0,9350.0
230759.0,,,,,,,,,,,,,14153.0,11154.0,670813.0,314560.0,1568540.0,9.0,483.0,198550.0,,46705.0,419384.0,0.0,4147.0,43913.0,428377.0,100.0,0.0,4602.0,375654.0,112099.0,160208.0
231279.0,,,,,,,,,,,,,0.0,0.0,39111.0,101.0,66808.0,11451.0,,1165.0,,32442.0,4139.0,0.0,12327.0,6880.0,0.0,950.0,0.0,1361.0,21854.0,14328.0,1303.0
232847.0,,,,,,,,,,,,,3540.0,0.0,98532.0,0.0,207105.0,2776.0,10860.0,17834.0,,24940.0,37798.0,0.0,39206.0,0.0,80659.0,14880.0,0.0,5742.0,69303.0,35716.0,6506.0
232856.0,,,,,,,,,,,,,0.0,0.0,391629.0,0.0,706872.0,198230.0,2076.0,25048.0,,70625.0,286081.0,0.0,56365.0,0.0,21684.0,19173.0,0.0,6125.0,232811.0,44101.0,26911.0
233031.0,44000.0,26000.0,1000.0,158608000.0,26077000.0,14000.0,1493000.0,1061000.0,26785000.0,1760000.0,0.0,0.0,,,85897000.0,,,,174000.0,27248000.0,,23630000.0,14199000.0,,26000000.0,,,,1158000.0,6814000.0,46337000.0,5955000.0,576000.0
233246.0,,,,,,,,,,,,,0.0,,55917.0,4253.0,114247.0,16382.0,7669.0,3772.0,,5875.0,36532.0,0.0,21770.0,19071.0,0.0,8106.0,0.0,2505.0,32461.0,10385.0,5372.0
233358.0,,,,,,,,,,,,,0.0,0.0,107189.0,1000.0,302167.0,32586.0,7515.0,12939.0,,28349.0,39294.0,0.0,48170.0,95894.0,12260.0,42677.0,0.0,12002.0,77970.0,25172.0,9948.0
233442.0,,,,,,,,,,,,,11.0,2240.0,82006.0,1151.0,119294.0,13715.0,6481.0,14052.0,,12424.0,33893.0,0.0,40570.0,0.0,8558.0,8437.0,0.0,14735.0,20855.0,21640.0,3485.0
233527.0,,,,,,,,,,,,,0.0,119959.0,1930214.0,59307.0,2647909.0,123109.0,186.0,329201.0,,628132.0,889145.0,0.0,250737.0,63596.0,222993.0,85172.0,584.0,45161.0,693611.0,384091.0,137643.0
233554.0,,,,,,,,,,,,,0.0,34609.0,1338679.0,0.0,1693161.0,262073.0,19099.0,694992.0,,38084.0,574758.0,27959.0,25898.0,12544.0,27274.0,892.0,0.0,11746.0,1107629.0,218254.0,48377.0
234355.0,,,,,,,,,,,,,21353.0,392.0,584390.0,302.0,1232634.0,72601.0,67250.0,61863.0,,67212.0,355373.0,2131.0,111065.0,192049.0,156348.0,149260.0,0.0,18760.0,509186.0,114191.0,33098.0
234506.0,,,,,,,,,,,,,0.0,15734.0,280861.0,1096.0,480049.0,12020.0,0.0,23780.0,,184935.0,74840.0,0.0,11166.0,81864.0,27423.0,63493.0,0.0,7732.0,250569.0,15369.0,2959.0
234739.0,,,,,,,,,,,,,4403.0,0.0,821053.0,500.0,1372347.0,484801.0,61.0,71395.0,,169231.0,555279.0,0.0,31530.0,325.0,3243.0,668.0,1953.0,21097.0,874326.0,141467.0,27246.0
234841.0,,,,,,,,,,,,,0.0,10000.0,88247.0,0.0,292978.0,0.0,12380.0,6521.0,,38731.0,27452.0,0.0,7859.0,66672.0,54013.0,73963.0,0.0,2906.0,142414.0,60089.0,7680.0
235174.0,,,,,,,,,,,,,0.0,,62630.0,0.0,95495.0,27815.0,,0.0,,58894.0,13564.0,0.0,1702.0,0.0,106.0,0.0,0.0,0.0,35104.0,26902.0,1961.0
235231.0,,,,,,,,,,,,,0.0,0.0,84467.0,27213.0,241766.0,1412.0,,7245.0,,39151.0,17210.0,0.0,23233.0,22971.0,27544.0,55542.0,0.0,6416.0,33127.0,66528.0,28317.0
235316.0,,,,,,,,,,,,,0.0,,31150.0,1066.0,48966.0,9943.0,,3762.0,,18357.0,8865.0,0.0,3200.0,0.0,0.0,0.0,0.0,225.0,13270.0,7724.0,1279.0
235446.0,,,,,,,,,,,,,0.0,0.0,186002.0,9292.0,297022.0,6917.0,31132.0,18987.0,,38886.0,93652.0,0.0,72645.0,305.0,59979.0,25492.0,0.0,5831.0,88391.0,40679.0,7796.0
235530.0,,,,,,,,,,,,,0.0,0.0,347619.0,0.0,739998.0,66833.0,16878.0,33543.0,,98426.0,190937.0,0.0,37899.0,19455.0,53518.0,218965.0,0.0,4200.0,548062.0,51187.0,17198.0
235558.0,,,,,,,,,,,,,0.0,,19227.0,3141.0,27254.0,3219.0,10994.0,1985.0,,314.0,4726.0,0.0,2511.0,0.0,0.0,105.0,0.0,1205.0,223.0,12134.0,551.0
