"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RIADG377	
672573																																																													0	0	19185		0			10532	3287		0	166780	0	0	3121	86134	1555		2420	1518	4866	2033	4815	21565	51337	6021	1047	6573	17544	27682	21649				0	0			3694	6177	17689	12025							0														53136				0		0	512		5697													293			CONF	CONF					
673244																																																													0	9116	2790		6546			12433	24		0	82232	0	0	0	24210	482		18593	336	3046	10451	8866	1327	142	4036	11175	18198	21218	2879	514				0	0			3301	978	4766	16340							0													0	4200				0		0	0		996													250			CONF	CONF				0	
673440																																																													0	71005	163997	7840	6945	643197	0	643197	103190		1397	4158053	0	223173	0	352515	17779	3588	1176489	15213	44694	185159	74877	9015	22624	409852	718688	1368620	721854	494478	87991	0	0	0	11063	2244	0		148222	837578	227106	1292321	0	223173				141	186														3767607				141	19503	0	27343	0	10445	0	0	0	0	0	0	0	0	0	0	0	0	18533	0	2890	CONF	CONF					
673477																																																													0	0	609		0			0	371		0	30771	0	0	0	28473	0		156	0	71	552	167	5198	22450	454	153	0	385	609	697				0	0			603	632	0	0							0														3640				0		0	0		0													83			CONF	CONF					
673851																																																													0	277	7590		0			11394	6999		0	108923	0	0	0	40163	678		15608	875	5406	3247	7685	11606	11344	17023	5589	12848	8372	15972	8932				0	0			4961	10835	5812	19435							0													0	76711				0		0	0		4													775			CONF	CONF				0	
673909																																																													0	0	1408721	0	0	113	0	113	39448		0	3965185	0	0	0	1017697	7413	643873	174168	27928	66329	158866	173469	305013	284946	120382	205455	538221	596169	1486045	614	0	0	0	0	23	0		86907	259490	150957	993638	0	0				0	419														3870808				0	560	0	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	912	CONF	CONF					
674344																																																													0	93	1419		140			2410	3138		668	81893	0	0	0	51345	471		8345	2497	3853	11697	19092	14094	112	5690	2586	12414	5222	4636	0				186	101			2455	1247	5081	9460							0														26910				0		0	0		1753													1926			CONF	CONF					
674849																																																													0	364918	346627		62972			11917	10576		238	1628124	0	0	10	475495	20981		99485	1198	4787	31975	38184	229122	170111	29982	70490	83217	119125	739302	110459				0	0			19158	45255	27570	222250							173														327907				62		3060	0		9440													7667			CONF	CONF					
675042																																																													2000	23849	73		16357			5185	0		1530	76030	0	0	0	18106	133	13440	24702	1103	962	2628	5036	8377	0	2909	21422	6502	12901	14187	0				0	0			242	722	4109	0						344	0														30047				630		0	9	0	1579	0	0	0	0	0			286	286	0	0	0	2136	0	0	CONF	CONF					
675051																																																													0	0	1239		0			3825	111		0	61670	0	0	0	5615	269		19807	1447	302	2759	840	267	0	7947	10767	19450	17889	0	2				0	2			685	8804	22667	18145							0														0				0		0	2		184													122			CONF	CONF					
675079																																																													0	67430	5039	0	0	8050	0	8050	0		0	360767	0	0	1660	182483	10439	181612	39489	7781	17797	61260	89808	1595	4241	34706	17615	35296	43330	5430	41907	0	0	0	0	0	0		12212	5967	50057	2505	0	0				0	0														344183				0	6293	0	6293	0	2986	0	0	0	0	0	0	0	0	0	0	0	0	7306	0	0	CONF	CONF					
675248																																																													0	8452	3124		691			10972	82		1524	87817	0	0	0	25916	1278		12834	114	1643	7654	11469	4938	0	8498	7121	20087	21285	4910	0				0	24			3491	2257	11717	17036							0														44774				0		0	678		232													343			CONF	CONF					
675341																																																													0	836	0		2464			2093	0		0	6218	0	0	0	21	22		2148	0	0	0	21	0	0	557	1591	1123	2033	259	0				0	0			0	0	0	95							0														0				0		0	2		377													308			CONF	CONF					
675659																																																													0	24789	1271		12505			13417	0		339	75778	0	0	0	9136	0		17789	660	894	1169	1245	2234	2935	15168	4532	5368	12505	20656	8410				142	0			174	18	9073	2379							0														32074				3551		0	53		824													1658			CONF	CONF					
675855																																																													0	7680	5021		30			3935	0		0	81231	0	0	0	42111	0		14840	2354	4834	11793	22295	101	0	2913	4850	13006	14184	3696	458				0	0			2984	3947	1651	9695							0														0				0		0	72		2014													2091			CONF	CONF					
676049																																																													0	9346	9309		70			11072	0		0	132474	0	0	0	71517	0		20053	987	3865	8874	22204	9271	26251	5220	9981	19679	23028	2039	897				0	0			3998	0	7462	13426							0														0				0		0	0		2454													3820			CONF	CONF					
676151																																																													0	18991	10799		47323			21534	62		1161	392870	0	27	0	89964	1876		91551	11920	9434	10657	13271	33531	11151	77531	44172	89128	59512	30543	13				109	56			25583	22138	37369	69203							0													0	115030				0		0	34		14841													31800			CONF	CONF				0	
