"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONHK18	RCONHK19	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
72351				false			false			false	false		false		false		false			false								
72454				false			false			false	false		false		false		false			false								
72678				false			false			false	false		false		false		false			false								
73116				false			false			false	false		false		true	10902	false			false								
73152				false			false			false	false		false		false		false			false								
73554	20000	0		true	0	0	false			false	true	18007	true	209	true	18216	false			false								
73956				false			false			false	false		false		false		false			false								
74056				false			false			false	false		false		false		false			false								
74140	1238	0						1324	366																			
74403	18559	0																										
74449				false			false			false	false		false		false		false			false								
75259				false			false			false	false		false		true	190247	false			false								
75446	860	0		true	0	0	false			false	false		true	25299	true	47083	false			false								
75455				false			false			false	false		false		false		false			false								
75633								103983	43035														0	0	0	0	-54372	
75651				false			false			false	false		true	7328	false		false			false								
76153	0	0						0	0																			
76443				false			false			false	false		false		true	55137	false			false								
76854	30000	0		true	0	0	false			false	false		false		false		false			false								
77150	0	0																										
77253				false			false			false	false		false		false		false			false								
77422				false			false			false	false		false		false		false			false								
77851	40877	0						27549	6261																			
78157				false			false			false	false		false		false		false			false								
78241				false			false			false	false		false		false		false			false								
78559				false			false			false	false		false		false		false			false								
79042	0	0																										
79127				false			false			false	false		false		false		false			false								
79145	1417	0		true	0	0	false			false	false		true	24472	true	179136	false			false								
79257				false			false			false	false		false		false		false			false								
79855	9552	0		true	0	0	false			false	false		false		false		false			false								
80150				false			false			false	false		false		false		false			false								
80374				false			false			false	false		false		true	4330	false			false								
80431				false			false			false	false		false		false		false			false								
81175	1950	0		true	0	0	false			false	false		true	31965	true	154986	false			false								
82033				false			false			false	false		false		false		false			false								
82257				false			false			false	false		false		false		false			false								
82350				false			false			false	false		false		false		false			false								
83151	5	0		true	0	0	false			false	false		false		true	106152	false			false								
83375				false			false			false	false		false		false		false			false								
83638								45702	22850																	-212	0	
83834				false			false			false	false		false		false		false			false								
83852				false			false			false	false		false		false		false			false								
83955				false			false			false	false		false		false		false			false								
84046				false			false			false	false		false		false		false			false								
84541	8840	0		true	0	0	true	9371	1925	false	false		false		false		false			false								
85052				false			false			false	false		false		false		false			false								
85472	2979937	0						29965	4702																			
85931				false			false			false	false		false		false		false			false								
86349				false			false			false	false		false		false		false			false								
86675				false			false			false	false		false		false		false			false								
87047				false			false			false	false		false		false		false			false								
87234	20911	15250		true	0	0	true	22593	7480	false	false		false		false		false			false								
87476				false			false			false	false		false		true	41331	false			false								
87579	0	0																										
88231	253103	0		true	0	0	true	211047	45097	true	false		false		true	1124308	false			false	45114	66				-421	-4	
88259				false			false			false	false		false		true	11044	false			false								
88352	0	0																										
