"IDRSSD"	RCONFT04	RCONFT05	RCONHT81	RCONHT82	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	Retail originations during the quart	Wholesale originations and purchases	Repurchases and indemnification of 1	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL	Noninterest income for the quarter f	
195157						CONF	CONF			
195456						CONF	CONF			
196752	0	0	0	0	0	CONF	CONF	0	0	
196800	17737	3740	0	0	0	CONF	CONF	0	302	
197142						CONF	CONF			
197254	0	0	0	0	0	CONF	CONF	0	0	
197302						CONF	CONF			
197478	0	0	0	0	0	CONF	CONF	0	0	
197759						CONF	CONF			
198073						CONF	CONF			
198149						CONF	CONF			
198251	6879	231				CONF	CONF			
198961						CONF	CONF			
199137						CONF	CONF			
199351						CONF	CONF			
199436						CONF	CONF			
199463						CONF	CONF			
200378	0	4374	0	0	0	CONF	CONF	852	602	
200435						CONF	CONF			
201254						CONF	CONF			
201834	6416	2009	7742	0	0	CONF	CONF	0	128	
202514						CONF	CONF			
202541						CONF	CONF			
202907	502	275	777	0	0	CONF	CONF	0	275	
203043	2733	0	11050	0	0	CONF	CONF	0	240	
203052	0	0	0	0	0	CONF	CONF	0	0	
203575						CONF	CONF			
204004	0	0	0	0	0	CONF	CONF	0	0	
204237						CONF	CONF			
204826						CONF	CONF			
205243						CONF	CONF			
205346						CONF	CONF			
205458						CONF	CONF			
205542						CONF	CONF			
206156						CONF	CONF			
206174						CONF	CONF			
206473						CONF	CONF			
206772						CONF	CONF			
206950						CONF	CONF			
207041						CONF	CONF			
207050	58137	17175				CONF	CONF			
207452						CONF	CONF			
207470						CONF	CONF			
207555						CONF	CONF			
207845	1609	49				CONF	CONF			
207872						CONF	CONF			
208057	1608	483	1792	0	0	CONF	CONF	0	148	
208244	66490	10584	65148	0	1448	CONF	CONF	900	1161	
208347	0	0	0	0	0	CONF	CONF	0	0	
208440						CONF	CONF			
208459						CONF	CONF			
208570						CONF	CONF			
208655						CONF	CONF			
208972						CONF	CONF			
209148						CONF	CONF			
209362	4402	0				CONF	CONF			
209559						CONF	CONF			
209858						CONF	CONF			
210238						CONF	CONF			
210256						CONF	CONF			
210434	0	0	0	0	0	CONF	CONF	0	0	
211114	0	0	0	0	0	CONF	CONF	0	0	
211271	202226	15043	137735	0	973	CONF	CONF	602	1039	
211338						CONF	CONF			
211851						CONF	CONF			
212018						CONF	CONF			
212344						CONF	CONF			
212465	44427	0	21987	0	2789	CONF	CONF	3145	2440	
212522	0	0	5453	0	0	CONF	CONF	0	267	
212577	41647	60496	7247	58977	0	CONF	CONF	475	501	
213471						CONF	CONF			
213538						CONF	CONF			
213912	0	0	0	0	0	CONF	CONF	0	0	
213958	0	0	0	0	0	CONF	CONF	0	0	
214106						CONF	CONF			
214414	5105	315	4955	0	0	CONF	CONF	0	217	
214722						CONF	CONF			
214807	0	0	0	0	0	CONF	CONF	0	0	
214843						CONF	CONF			
215345						CONF	CONF			
215653						CONF	CONF			
215662	7115	816	6403	0	64	CONF	CONF	2	0	
215710						CONF	CONF			
216164						CONF	CONF			
216230						CONF	CONF			
216922	10859	2952	12964	0	0	CONF	CONF	0	406	
217059	0	0	0	0	0	CONF	CONF	0	0	
218131						CONF	CONF			
218261						CONF	CONF			
218850						CONF	CONF			
218878						CONF	CONF			
219044						CONF	CONF			
219651						CONF	CONF			
219679						CONF	CONF			
220059						CONF	CONF			
220527	4621	417	4175	652	0	CONF	CONF	0	0	
220844						CONF	CONF			
220974	5511	455				CONF	CONF			
221775						CONF	CONF			
222156						CONF	CONF			
222558						CONF	CONF			
222754						CONF	CONF			
223322	7394	10499	7085	0	0	CONF	CONF	0	774	
223452						CONF	CONF			
223751						CONF	CONF			
223845						CONF	CONF			
224954						CONF	CONF			
225054						CONF	CONF			
225157						CONF	CONF			
225559	17087	2969				CONF	CONF			
225942						CONF	CONF			
226949						CONF	CONF			
227151						CONF	CONF			
227357						CONF	CONF			
227656	11157	5494	16651	0	0	CONF	CONF	0	1380	
227777						CONF	CONF			
228000						CONF	CONF			
228158						CONF	CONF			
228279						CONF	CONF			
228345						CONF	CONF			
229070						CONF	CONF			
229173						CONF	CONF			
229342	0	0	0	0	0	CONF	CONF	0	0	
229454						CONF	CONF			
229801	27330	17218	26588	0	0	CONF	CONF	0	269	
229913	0	0	0	0	0	CONF	CONF	0	0	
230423						CONF	CONF			
230610						CONF	CONF			
230759						CONF	CONF			
231279						CONF	CONF			
232847						CONF	CONF			
232856	25747	9697				CONF	CONF			
233031	257000	203000	302000	0	1000	CONF	CONF	3000	24000	
233246						CONF	CONF			
233358						CONF	CONF			
233442						CONF	CONF			
233527	51384	8924				CONF	CONF			
233554	1944	143				CONF	CONF			
234355	7325	2423	6750	250	157	CONF	CONF	982	136	
234506						CONF	CONF			
234739						CONF	CONF			
234841						CONF	CONF			
235174	8295	607				CONF	CONF			
235231						CONF	CONF			
235316						CONF	CONF			
235446						CONF	CONF			
235530						CONF	CONF			
235558						CONF	CONF			
235950						CONF	CONF			
236153	21402	3720	19946	0	0	CONF	CONF	0	562	
236256						CONF	CONF			
236603						CONF	CONF			
236706	1477	0	1477	0	0	CONF	CONF	0	22	
236957	0	0	0	0	0	CONF	CONF	0	0	
237066	0	0	0	0	0	CONF	CONF	0	0	
237619						CONF	CONF			
237954						CONF	CONF			
238139						CONF	CONF			
238250						CONF	CONF			
238737						CONF	CONF			
239556						CONF	CONF			
239613						CONF	CONF			
239659	57969	10974				CONF	CONF			
240954						CONF	CONF			
241009						CONF	CONF			
241157						CONF	CONF			
