"IDRSSD"	RCFDJJ04	RCFDJJ05	RCFDJJ06	RCFDJJ07	RCFDJJ08	RCFDJJ09	RCFDJJ11	RCFDJJ12	RCFDJJ13	RCFDJJ14	RCFDJJ15	RCFDJJ16	RCFDJJ17	RCFDJJ18	RCFDJJ19	RCFDJJ20	RCFDJJ21	RCFDJJ23	RCFDJJ24	RCFDJJ25	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
162337																																									
163343																																									
163549																					69725	504254	142282	560746	0	91607	1368614	788	5860	1703	5064	0	506	373	14294	0	0	0	0	0	
163857																																									
164153																																									
164331																																									
164377																																									
164957																																									
164975																																									
165628																					525906	4056627	1869741	3761048	53552	204372	10471246	13646	42020	28916	49855	2461	4693	0	141591	0	0	0	0	0	
165758																																									
166111																																									
166531																																									
166652																																									
166849																																									
167453																																									
167752																																									
168357																																									
168571																																									
169327																																									
169354																																									
169653																					58455	1567320	934068	714068	0	14569	3288480	925	13679	13996	10944	0	80	0	39624	0	0	0	0	0	
169756																																									
170257																																									
170275																																									
170332																																									
171133																																									
171656																																									
171759																																									
171768																																									
172251																																									
172457																																									
172475																																									
172859																																									
173306																																									
173342																																									
173557																																									
173575																																									
173641																																									
173959																																									
174321																																									
174367																																									
174572																					366872	3629212	3095336	520447	1143	1045	7614055	6581	23572	14060	7317	0	9	0	51539	0	0	0	0	0	
175056																																									
175140																																									
175458																																									
175609																																									
176101																					116655	1192887	84258	254650	0	14918	1663368	1365	18717	328	4619	0	13	4	25046	0	0	0	0	0	
176325																																									
176437																																									
176464																																									
176642																																									
177135																																									
177443																																									
177500																																									
177555																																									
177751																																									
177920																					103389	643884	432734	195024	0	7815	1382846	1553	8762	5776	103	0	3968	0	20162	0	0	0	0	0	
178150																																									
178244																																									
178356																																									
178851																																									
179148																																									
179335																																									
179700																																									
180144																																									
180537																																									
180845																																									
181963																																									
182951																																									
183668																																									
183770																																									
183958																																									
184656																																									
184759																																									
185251																																									
185448																																									
185859																																									
186221																					86689	431011	276112	77165	0	210288	1081265	652	5617	2872	769	0	1641	0	11551	0	0	0	0	0	
186548																																									
186717																																									
186744																																									
187648																																									
187947																					165892	688068	167545	330194	1171	12335	1365205	2903	8970	1753	5626	15	162	1063	20492	0	0	0	0	0	
188056																																									
188177																																									
188430																																									
188449																																									
188720																																									
188739																																									
188917																																									
189129																																									
