"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJA29	RCFDJF76	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJA29	RCONJF76	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL59	RCONLL60	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
846945																														501	0	20500	482	0	22500	true	0	0	0	0	0	821	1	0	false	0	0	20500	0	2000	0	0	0	0	0	0	0	0	true	false		19		0	0			0	0	0	0	0	0			21																		www.badgerbank.bank	
847157																														246	0	117	246	0	521	true	0	0	0	0	0	769	0	0	true	0	0	117	336	38	30	0	0	0	0	0	0	0	true	false	0	0		0	0			0	0	0	0	0	0			27																		www.ucbankmn.com	
847979																														93	0	0	0	93	2500	true	0	0	0	0	0	309	0	93	false	0	0	0	0	2500	0	0	0	0	0	0	0	0	false	false	0	0		0	0			0	0	0	0	0	0			0																		www.bankwith-csb.com	
848248																														0	0	0	0	0	0	true	0	0	0	0	0	7387	3	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	79	0		0	0			0	0	0	0	0	0			0																		www.fidelitybanker.com	
848453																														631	0	10000	350	0	10000	true	0	0	0	0	0	65	0	0	false	0	0	10000	0	0	0	0	0	0	0	0	0	0	true	false	0	281		0	0			5	54	0	0	0	0			0																		www.thebankofhouston.com	
849076																														0	0	0	0	0	0	true	0	0	0	0	0	204	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false		0		0	0	1	true	0	0	0	0	0	0			0																		www.hendersonfederal.com	
849348																														3982	0	2182	3578	0	23662	true	0	0	0	0	0	4126	2	0	true	0	10000	2182	1422	4021	6037	1377	10000	0	0	0	0	10000	true	false	74	404		0	0			0	0	0	0	0	0			86		www.ecommunitybankonline.org																www.ecommunitybank.org	
849357																														362	0	0	0	0	0	true	0	0	0	0	0	22	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	362		0	0			2	382	0	0	0	0			184	4200																	WWW.FNBHS.COM	
849432																														182	0	0	182	0	0	true	0	0	0	0	0	3838	2	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false		0	0	0	0			0	0	0	0	0	0			0																		http://www.mybankofmonroe.com	
850036																														33618	614	1029658	18476	12979	1189658	true	0	0	614	0	0	4717	3	12979	true	0	0	1029658	0	0	160000	160000	0	0	0	0	0	0	true	false	287	2163	0	0	0			12	352	0	0	0	0			847	12914	www.firstambank.com		xpress.epaysol.com														www.firstambank.com	
850054																														0	0	2000	0	0	2000	true	0	0	0	0	0	470	0	0	false	0	0	2000	0	0	0	0	0	0	0	0	0	0	true	false		0	0	0	0			0	0	0	0	0	0			0																		www.fnbord.com	
850456																														0	45	0	0	0	3000	true	0	0	0	0	45	565	0	0	true	0	0	0	3000	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0			1	4	0	0	0	0			25																		http://www.gssb.us.com	
851060																														0	0	0	0	0	0	false	0	0	0	0	0	2087	2	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		0		0	0			0	0	0	0	0	0			0																		www.atascosabank.com	
851172																														0	0	0	0	0	5000	false	0	0	0	0	0	2855	1	0	false	0	0	0	5000	0	0	0	0	0	0	0	0	0	false	false		0		0	0	2	true	0	0	0	0	0	0			0																		www.cblbanklocal.com	
851239																														42	653	10000	0	0	10000	true	0	0	541	0	112	6792	3	0	true	0	0	10000	0	0	0	0	0	0	0	0	0	0	true	false	0	42		0	0			3	87	0	0	0	0			40																		www.pocavalleybank.com	
851631																														1928	1001	0	1693	0	0	true	1001	0	0	0	0	8822	2	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	235		0	0			0	0	0	0	0	0			0																		http://www.betterbanks.com	
852218	50295000	282000	18441000	40536000	8522000	241771000	true	1514000	9	8522000	true	0	41701000	32441000	8861000	408000	37000	0	134448000	8629000	51872000	5075000	81350000	0	1237000	1000	0	0	0						211248000		0	0	128000	0	154000																0		true	true								2553	136000	0	0	0	0	0	25778	2371845	26768000	www.chase.com	Chase	www.jpmorgan.com	J.P.Morgan	www.jpmorgan.chase.com	JPMorgan Chase		Chase Private Client		J.P.Morgan Private Bank							www.jpmorganchase.com	
852254																														2150	56	0	1809	0	0	true	0	0	56	0	0	1891	2	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false		341		0	0			0	0	0	0	0	0			56																		www.theunionbank.com	
852320	27029000	139000	24700000	20558000	3360000	39459000	true	29000	5	3360000	true	0	3798000	24700000	0	0	1000	0	11798000	1770000	11000	1179000	1259000	222000	3111000	0	0	0	0						39459000		0	0	3000	0	136000																0		true	true								946	70000	0	0	0	0	0	1615	16978	407000																	www.Truist.com	
852544																														59034	59	464	53795	13	185936	true	0	0	59	0	0	5601	4	13	true	0	0	464	25220	155443	4809	0	0	0	0	0	0	0	true	true	0	5226		0	0			1	6	0	0	0	0			306																		www.banksouthern.com	
852704																														3435	0	14344	0	3409	181519	true	0	0	0	0	0	26766	4	5313	false	0	167175	14344	0	0	0	0	167175	0	0	0	0	167175	true	false		26		0	0			3	15	0	0	0	0	0	0	753	26252																	www.grbbank.com	
852713																														423	0	0	0	415	70000	true	0	0	0	0	0	4763	2	583	true	0	50000	0	20000	0	0	0	50000	0	0	0	0	50000	true	false	0	8		0	0			3	188	0	0	0	0			117																		www.qnbbank.com	
